99,84,90,90,96,great
87,96,93,88,80,great
100,86,92,99,98,great
92,97,97,98,99,great
90,90,90,97,96,great
92,98,98,100,89,great
82,83,100,80,91,great
84,93,93,87,83,great
90,82,94,85,98,great
90,91,89,82,88,great
98,88,83,95,88,great
86,92,95,84,85,great
88,88,93,84,80,great
92,91,85,97,93,great
100,83,94,92,96,great
84,100,98,82,81,great
90,98,83,95,91,great
94,85,84,82,86,great
99,90,83,80,100,great
81,96,82,94,100,great
75,79,64,67,70,good
74,71,71,74,67,good
79,66,72,73,65,good
77,69,64,78,62,good
64,72,71,71,73,good
60,73,79,80,80,good
77,78,66,67,74,good
72,73,68,73,79,good
75,64,60,75,64,good
69,79,65,74,69,good
65,70,66,60,78,good
73,65,75,64,77,good
72,66,72,69,60,good
67,69,77,73,78,good
62,64,66,61,62,good
62,77,69,68,74,good
63,63,75,60,62,good
74,68,63,66,62,good
71,71,71,68,77,good
61,73,67,66,77,good
23,35,20,39,36,bad
44,47,46,1,18,bad
25,25,55,52,26,bad
57,2,31,19,46,bad
17,1,15,45,35,bad
34,44,18,58,29,bad
59,29,56,23,52,bad
43,34,38,11,58,bad
51,21,43,22,22,bad
31,3,17,0,41,bad
7,41,31,30,1,bad
20,17,57,33,1,bad
52,51,48,26,39,bad
29,33,13,6,26,bad
33,23,48,44,20,bad
12,17,40,0,13,bad
2,59,48,21,17,bad
34,39,46,45,28,bad
57,48,12,15,20,bad
37,10,24,43,52,bad

